Hash: 34080E13, Key: Bounty_Assassinate_Frac_BanditMelee, Value: Taiga Bandit Chief
Hash: C06C5B3C, Key: Bounty_Assassinate_Frac_BanditRanged, Value: Taiga Ranger
Hash: 804376BB, Key: Bounty_Assassinate_Frac_FallenGrunt, Value: Ice Carver
Hash: 5DC10D60, Key: Bounty_Assassinate_Frac_GhostCaster, Value: Highway Haunter
Hash: BEFC4371, Key: Bounty_Assassinate_Frac_GoatmanRanged, Value: Ice Clan Woodstalker
Hash: C1C90FB8, Key: Bounty_Assassinate_Frac_GoatmanShaman, Value: Ice Clan Elder
Hash: AD041C58, Key: Bounty_Assassinate_Frac_Skeleton2H, Value: Hoarfrost Shambler
Hash: 7E290A4D, Key: Bounty_Assassinate_Frac_FallenCaster, Value: Shivering Magus
Hash: 04B17F42, Key: Bounty_Assassinate_Frac_GoatmanBrute, Value: The Borean Howler
Hash: 4D075F8F, Key: Bounty_Assassinate_Frac_VampireBrute, Value: Butcher of Tsepilova
Hash: EF13C12F, Key: Bounty_Assassinate_Frac_VampireCaster, Value: Lord of Frozen Plains
Hash: 4D5C44EC, Key: Bounty_Assassinate_Frac_VampireGhoul, Value: Fiend of Yelesna
Hash: 2D4CB74C, Key: Bounty_Assassinate_Frac_WerewolfMelee, Value: Beast of Krol
Hash: B8D9D44F, Key: Bounty_Assassinate_Frac_WerewolfProwler, Value: Stalker of the Drifts
Hash: 3A59B50C, Key: DE_AltarOfBishibosh, Value: Avatar of Bishibosh
Hash: 454D706A, Key: DE_WanderingSoul, Value: Ravenous Soul
Hash: 285F3F88, Key: LE_Sacrifice_SuperElite_FlavorText, Value: Devourer of Souls
Hash: FFB3516B, Key: LE_ShrineBuff_SuperElite_FlavorText, Value: Shrine Guardian
Hash: 647B48A0, Key: DGN_Frac_LostArchives_Boss, Value: Behistun Primarc
Hash: 8692C2D3, Key: Bounty_Harvest_Boss, Value: Dark Revenant
Hash: 0B6E4661, Key: DE_Immolation, Value: Master of Immolation
Hash: 72E423C8, Key: DE_ShrineOfZagraal, Value: Guardian of Zagraal
Hash: 962E3A7F, Key: DE_Rupture, Value: Patriarch of Blood
Hash: D4760E77, Key: DE_TollOfTheDeep, Value: Lord of the Deep
Hash: 5BBB10E0, Key: pvp_OpenWorld_HVT, Value: [ph] High Value Target
Hash: 044622DE, Key: DE_RitualOfBlood, Value: Sanguine Champion
Hash: E0AC59D2, Key: DE_PotentBlood, Value: Enraged Devourer
Hash: 99CC8500, Key: DSH_Holdout_MiniBoss, Value: Sentinel Guardian
Hash: F84BBDE9, Key: LE_Hatchery_SuperElite, Value: Hatchery Matriarch
Hash: 5D0ED633, Key: USZ_harbinger, Value: Helltide Harbinger
Hash: 0A54E6D8, Key: LE_Empowered, Value: The Unascended
Hash: 827541C2, Key: DGN_KAM_Bandit, Value: Ringleader
Hash: E1C34488, Key: DGN_KAM_Cannibal, Value: Headhunter
Hash: 4CA378B8, Key: DGN_KAM_Cultist, Value: Harbinger
Hash: 6131AF43, Key: DGN_KAM_Demon, Value: Roaming Terror
Hash: 92D63DA3, Key: DGN_KAM_Drowned, Value: Lord of Erosion
Hash: 8BC8ED02, Key: DGN_KAM_Fallen, Value: The Beast
Hash: 8923D07B, Key: DGN_KAM_Fly, Value: Swarm Master
Hash: 6169A6F5, Key: DGN_KAM_Ghost, Value: Haunted Soul
Hash: 71C67917, Key: DGN_KAM_Goatman, Value: Bone Crusher
Hash: 985C3CB5, Key: DGN_KAM_Knight, Value: Templar
Hash: ADA7032B, Key: DGN_KAM_Wasp, Value: 
Hash: 92827055, Key: DGN_KAM_Skeleton, Value: Herald of the Dead
Hash: 6245DAA2, Key: DGN_KAM_Snake, Value: Mordant Viper
Hash: AB29A597, Key: DGN_KAM_Spider, Value: Skittering Dread
Hash: D49EB544, Key: DGN_KAM_Vampire, Value: Master of Blood
Hash: 938A851B, Key: DGN_KAM_Werewolf, Value: Alpha
Hash: B95C4960, Key: DGN_KAM_Wildlife, Value: 
Hash: BB6DD2F6, Key: DGN_KAM_Zombie, Value: The Undying
Hash: EF06D440, Key: DRLG_Structure_Cultist, Value: Ritual Leader
Hash: D0921110, Key: DRLG_Structure_Cannibal, Value: Corpse Mason
Hash: 967888CB, Key: DRLG_Structure_Demon, Value: Hell Catalyst
Hash: 3539992B, Key: DRLG_Structure_Drowned, Value: Figurehead Hauler
Hash: CE8591AF, Key: DRLG_Structure_Fallen_Imp, Value: Minion of Chaos
Hash: AADD0C54, Key: DRLG_Structure_Fallen_Overseer, Value: Hell Driver
Hash: 633AA601, Key: DRLG_Structure_Fallen_Shaman, Value: Archdemon
Hash: 96B0807D, Key: DRLG_Structure_Ghost, Value: Nightmare
Hash: 10778CCD, Key: DRLG_Structure_Goatman_Corrupt, Value: Shrine Defiler
Hash: 0866EFEF, Key: DRLG_Structure_Goatman_Ice, Value: Master Impaler
Hash: 767E473D, Key: DRLG_Structure_Knight, Value: Necrologist
Hash: FA2CD9B3, Key: DRLG_Structure_MageHall, Value: Cursed Sentinel
Hash: 7A3C4217, Key: DRLG_Structure_Maggot, Value: Corpse Spawn
Hash: 966DC46A, Key: DRLG_Structure_Crypt, Value: Soulsworn Oathbreaker
Hash: 81513CDD, Key: DRLG_Structure_Skeleton, Value: Massacred Champion
Hash: 978CB42A, Key: DRLG_Structure_Snake, Value: Guardian of the All-Seer
Hash: 894BB01F, Key: DRLG_Structure_Spider, Value: Matriarch
Hash: 770210CC, Key: DRLG_Structure_Vampire, Value: Flesh Maester
